state,year,tempf,tempc
Alabama,1972,62.9583,17.1991
Alabama,1973,63.0583,17.2546
Alabama,1974,63.1000,17.2778
Alabama,1975,62.8250,17.1250
Alabama,1976,60.6750,15.9306
Alabama,1977,62.4583,16.9213
Alabama,1978,61.8667,16.5926
Alabama,1979,61.3583,16.3102
Alabama,1980,62.4667,16.9259
Alabama,1981,61.9833,16.6574
Alabama,1982,63.3417,17.4120
Alabama,1983,61.1917,16.2176
Alabama,1984,62.8167,17.1204
Alabama,1985,62.7917,17.1065
Alabama,1986,64.0917,17.8287
Alabama,1987,63.0417,17.2454
Alabama,1988,62.0750,16.7083
Alabama,1989,62.2000,16.7778
Alabama,1990,64.9167,18.2870
Alabama,1991,63.9583,17.7546
Alabama,1992,62.1083,16.7269
Alabama,1993,62.3250,16.8472
Alabama,1994,63.0500,17.2500
Alabama,1995,63.0333,17.2407
Alabama,1996,62.1250,16.7361
Alabama,1997,62.3667,16.8704
Alabama,1998,65.1250,18.4028
Alabama,1999,64.1417,17.8565
Alabama,2000,63.5667,17.5370
Alabama,2001,63.0333,17.2407
Alabama,2002,63.5750,17.5417
Alabama,2003,62.7333,17.0741
Alabama,2004,63.3333,17.4074
Alabama,2005,63.3917,17.4398
Alabama,2006,64.2000,17.8889
Alabama,2007,64.4000,18.0000
Alabama,2008,62.9167,17.1759
Alabama,2009,62.9083,17.1713
Alabama,2010,62.7083,17.0602
Alabama,2011,63.8333,17.6852
Alabama,2012,64.9167,18.2870
Alabama,2013,62.6000,17.0000
Alabama,2014,62.0333,16.6852
Alabama,2015,64.6167,18.1204
Alabama,2016,65.3417,18.5231
Alabama,2017,65.0333,18.3519
Alabama,2018,64.4500,18.0278
Alabama,2019,65.3750,18.5417
Arizona,1895,58.4917,14.7176
Arizona,1896,59.9833,15.5463
Arizona,1897,58.6250,14.7917
Arizona,1898,59.0167,15.0093
Arizona,1899,59.1667,15.0926
Arizona,1900,60.0667,15.5926
Arizona,1901,59.9417,15.5231
Arizona,1902,59.6500,15.3611
Arizona,1903,58.9917,14.9954
Arizona,1904,59.6500,15.3611
Arizona,1905,58.7833,14.8796
Arizona,1906,59.0167,15.0093
Arizona,1907,59.4500,15.2500
Arizona,1908,58.7250,14.8472
Arizona,1909,58.4583,14.6991
Arizona,1910,61.1833,16.2130
Arizona,1911,58.7750,14.8750
Arizona,1912,57.2000,14.0000
Arizona,1913,57.4833,14.1574
Arizona,1914,59.9167,15.5093
Arizona,1915,58.2167,14.5648
Arizona,1916,58.7833,14.8796
Arizona,1917,58.6583,14.8102
Arizona,1918,58.8167,14.8981
Arizona,1919,58.0833,14.4907
Arizona,1920,57.7917,14.3287
Arizona,1921,59.9250,15.5139
Arizona,1922,58.6250,14.7917
Arizona,1923,57.8583,14.3657
Arizona,1924,58.6167,14.7870
Arizona,1925,59.1000,15.0556
Arizona,1926,59.6083,15.3380
Arizona,1927,59.5333,15.2963
Arizona,1928,59.6333,15.3519
Arizona,1929,58.5333,14.7407
Arizona,1930,58.5333,14.7407
Arizona,1931,59.2167,15.1204
Arizona,1932,58.3833,14.6574
Arizona,1933,58.7500,14.8611
Arizona,1934,61.7333,16.5185
Arizona,1935,59.0000,15.0000
Arizona,1936,60.3083,15.7269
Arizona,1937,59.1250,15.0694
Arizona,1938,59.3083,15.1713
Arizona,1939,59.6417,15.3565
Arizona,1940,60.8500,16.0278
Arizona,1941,58.1667,14.5370
Arizona,1942,59.1750,15.0972
Arizona,1943,60.4833,15.8241
Arizona,1944,57.9917,14.4398
Arizona,1945,58.5167,14.7315
Arizona,1946,59.3083,15.1713
Arizona,1947,59.3417,15.1898
Arizona,1948,58.5583,14.7546
Arizona,1949,58.1667,14.5370
Arizona,1950,60.4917,15.8287
Arizona,1951,58.8583,14.9213
Arizona,1952,58.8250,14.9028
Arizona,1953,59.2500,15.1389
Arizona,1954,60.8833,16.0463
Arizona,1955,58.4500,14.6944
Arizona,1956,59.5417,15.3009
Arizona,1957,59.5417,15.3009
Arizona,1958,60.3917,15.7731
Arizona,1959,60.2000,15.6667
Arizona,1960,59.5750,15.3194
Arizona,1961,59.2500,15.1389
Arizona,1962,59.8333,15.4630
Arizona,1963,59.7917,15.4398
Arizona,1964,57.7667,14.3148
Arizona,1965,58.4750,14.7083
Arizona,1966,59.5000,15.2778
Arizona,1967,59.0000,15.0000
Arizona,1968,58.6500,14.8056
Arizona,1969,59.7000,15.3889
Arizona,1970,58.9583,14.9769
Arizona,1971,58.2167,14.5648
Arizona,1972,59.6417,15.3565
Arizona,1973,58.3917,14.6620
Arizona,1974,59.4833,15.2685
Arizona,1975,57.8917,14.3843
Arizona,1976,58.9667,14.9815
Arizona,1977,60.2083,15.6713
Arizona,1978,59.8000,15.4444
Arizona,1979,58.8167,14.8981
Arizona,1980,60.2333,15.6852
Arizona,1981,61.3250,16.2917
Arizona,1982,58.7417,14.8565
Arizona,1983,59.2000,15.1111
Arizona,1984,59.4417,15.2454
Arizona,1985,59.5500,15.3056
Arizona,1986,60.5750,15.8750
Arizona,1987,59.3167,15.1759
Arizona,1988,60.2000,15.6667
Arizona,1989,61.2250,16.2361
Arizona,1990,59.7167,15.3981
Arizona,1991,59.2500,15.1389
Arizona,1992,59.5917,15.3287
Arizona,1993,59.8000,15.4444
Arizona,1994,60.5500,15.8611
Arizona,1995,61.0083,16.1157
Arizona,1996,61.8750,16.5972
Arizona,1997,60.5250,15.8472
Arizona,1998,59.2750,15.1528
Arizona,1999,60.7833,15.9907
Arizona,2000,61.6750,16.4861
Arizona,2001,61.2000,16.2222
Arizona,2002,61.1750,16.2083
Arizona,2003,61.9000,16.6111
Arizona,2004,60.4083,15.7824
Arizona,2005,61.1333,16.1852
Arizona,2006,61.1250,16.1806
Arizona,2007,61.5917,16.4398
Arizona,2008,60.6167,15.8981
Arizona,2009,61.0833,16.1574
Arizona,2010,60.3917,15.7731
Arizona,2011,60.3333,15.7407
Arizona,2012,62.1083,16.7269
Arizona,2013,60.4500,15.8056
Arizona,2014,62.2500,16.8056
Arizona,2015,61.7500,16.5278
Arizona,2016,62.1750,16.7639
Arizona,2017,63.0333,17.2407
Arizona,2018,62.2667,16.8148
Arizona,2019,60.2833,15.7130
Arkansas,1895,58.8583,14.9213
Arkansas,1896,62.0750,16.7083
Arkansas,1897,61.3000,16.2778
Arkansas,1898,60.4417,15.8009
Arkansas,1899,59.9667,15.5370
Arkansas,1900,61.2250,16.2361
Arkansas,1901,60.2417,15.6898
Arkansas,1902,59.7333,15.4074
Arkansas,1903,58.4833,14.7130
Arkansas,1904,59.5333,15.2963
Arkansas,1905,58.7500,14.8611
Arkansas,1906,59.5167,15.2870
Arkansas,1907,61.1083,16.1713
Arkansas,1908,61.3833,16.3241
Arkansas,1909,61.2917,16.2731
Arkansas,1910,60.1333,15.6296
Arkansas,1911,62.0500,16.6944
Arkansas,1912,58.5083,14.7269
Arkansas,1913,60.6250,15.9028
Arkansas,1914,60.3083,15.7269
Arkansas,1915,59.7500,15.4167
Arkansas,1916,60.7833,15.9907
Arkansas,1917,58.3417,14.6343
Arkansas,1918,60.5250,15.8472
Arkansas,1919,60.7417,15.9676
Arkansas,1920,59.7250,15.4028
Arkansas,1921,63.3167,17.3981
Arkansas,1922,61.6833,16.4907
Arkansas,1923,60.7417,15.9676
Arkansas,1924,59.1167,15.0648
Arkansas,1925,61.8333,16.5741
Arkansas,1926,60.2667,15.7037
Arkansas,1927,62.0167,16.6759
Arkansas,1928,60.1167,15.6204
Arkansas,1929,59.6583,15.3657
Arkansas,1930,60.7833,15.9907
Arkansas,1931,61.6667,16.4815
Arkansas,1932,61.1500,16.1944
Arkansas,1933,62.3167,16.8426
Arkansas,1934,61.9583,16.6435
Arkansas,1935,60.7917,15.9954
Arkansas,1936,61.0417,16.1343
Arkansas,1937,60.0000,15.5556
Arkansas,1938,62.6250,17.0139
Arkansas,1939,61.9750,16.6528
Arkansas,1940,58.6000,14.7778
Arkansas,1941,61.2417,16.2454
Arkansas,1942,60.3583,15.7546
Arkansas,1943,61.0667,16.1481
Arkansas,1944,61.0583,16.1435
Arkansas,1945,60.2917,15.7176
Arkansas,1946,61.9583,16.6435
Arkansas,1947,60.2000,15.6667
Arkansas,1948,59.9167,15.5093
Arkansas,1949,60.8750,16.0417
Arkansas,1950,59.7833,15.4352
Arkansas,1951,60.1000,15.6111
Arkansas,1952,60.9917,16.1065
Arkansas,1953,61.8083,16.5602
Arkansas,1954,62.7833,17.1019
Arkansas,1955,60.8083,16.0046
Arkansas,1956,61.3833,16.3241
Arkansas,1957,60.5750,15.8750
Arkansas,1958,58.7583,14.8657
Arkansas,1959,60.0000,15.5556
Arkansas,1960,58.8833,14.9352
Arkansas,1961,59.1333,15.0741
Arkansas,1962,60.3083,15.7269
Arkansas,1963,60.3333,15.7407
Arkansas,1964,60.6667,15.9259
Arkansas,1965,61.0250,16.1250
Arkansas,1966,59.1750,15.0972
Arkansas,1967,59.8667,15.4815
Arkansas,1968,58.6667,14.8148
Arkansas,1969,59.5167,15.2870
Arkansas,1970,59.7167,15.3981
Arkansas,1971,60.4667,15.8148
Arkansas,1972,60.0333,15.5741
Arkansas,1973,60.5750,15.8750
Arkansas,1974,60.2667,15.7037
Arkansas,1975,59.8750,15.4861
Arkansas,1976,58.7500,14.8611
Arkansas,1977,60.7667,15.9815
Arkansas,1978,58.9000,14.9444
Arkansas,1979,57.9917,14.4398
Arkansas,1980,60.4917,15.8287
Arkansas,1981,60.2250,15.6806
Arkansas,1982,59.9667,15.5370
Arkansas,1983,58.8667,14.9259
Arkansas,1984,60.0500,15.5833
Arkansas,1985,59.8417,15.4676
Arkansas,1986,61.5167,16.3981
Arkansas,1987,61.0333,16.1296
Arkansas,1988,59.7500,15.4167
Arkansas,1989,58.9667,14.9815
Arkansas,1990,61.8417,16.5787
Arkansas,1991,61.3000,16.2778
Arkansas,1992,59.8917,15.4954
Arkansas,1993,59.3083,15.1713
Arkansas,1994,60.3917,15.7731
Arkansas,1995,60.4750,15.8194
Arkansas,1996,59.5667,15.3148
Arkansas,1997,59.6583,15.3657
Arkansas,1998,63.1000,17.2778
Arkansas,1999,62.1500,16.7500
Arkansas,2000,60.8917,16.0509
Arkansas,2001,61.2250,16.2361
Arkansas,2002,60.5833,15.8796
Arkansas,2003,60.2667,15.7037
Arkansas,2004,61.0250,16.1250
Arkansas,2005,61.9583,16.6435
Arkansas,2006,61.9917,16.6620
Arkansas,2007,61.8083,16.5602
Arkansas,2008,59.8583,15.4769
Arkansas,2009,59.9250,15.5139
Arkansas,2010,61.1750,16.2083
Arkansas,2011,61.8167,16.5648
Arkansas,2012,63.6083,17.5602
Arkansas,2013,59.6417,15.3565
Arkansas,2014,58.6667,14.8148
Arkansas,2015,61.4000,16.3333
Arkansas,2016,62.7917,17.1065
Arkansas,2017,62.5417,16.9676
Arkansas,2018,61.1667,16.2037
Arkansas,2019,61.2250,16.2361
California,1895,56.4583,13.5880
California,1896,57.4667,14.1481
California,1897,56.4583,13.5880
California,1898,56.7000,13.7222
California,1899,56.5583,13.6435
California,1900,57.4917,14.1620
California,1901,57.2417,14.0231
California,1902,56.1667,13.4259
California,1903,56.2083,13.4491
California,1904,57.4167,14.1204
California,1905,57.0750,13.9306
California,1906,57.1833,13.9907
California,1907,56.5250,13.6250
California,1908,56.2333,13.4630
California,1909,56.2250,13.4583
California,1910,57.6583,14.2546
California,1911,55.3750,12.9861
California,1912,55.5417,13.0787
California,1913,56.4500,13.5833
California,1914,57.3750,14.0972
California,1915,56.7417,13.7454
California,1916,55.5833,13.1019
California,1917,56.6250,13.6806
California,1918,56.8417,13.8009
California,1919,56.2750,13.4861
California,1920,56.0917,13.3843
California,1921,57.3083,14.0602
California,1922,56.0583,13.3657
California,1923,56.3667,13.5370
California,1924,57.1500,13.9722
California,1925,57.1417,13.9676
California,1926,58.7917,14.8843
California,1927,56.8750,13.8194
California,1928,57.6750,14.2639
California,1929,57.2333,14.0185
California,1930,56.9417,13.8565
California,1931,58.2833,14.6019
California,1932,56.9333,13.8519
California,1933,56.7167,13.7315
California,1934,59.7083,15.3935
California,1935,56.8417,13.8009
California,1936,58.6167,14.7870
California,1937,57.1583,13.9769
California,1938,57.2500,14.0278
California,1939,58.3167,14.6204
California,1940,58.8333,14.9074
California,1941,57.0583,13.9213
California,1942,57.0500,13.9167
California,1943,57.8333,14.3519
California,1944,56.2250,13.4583
California,1945,57.0917,13.9398
California,1946,56.7167,13.7315
California,1947,57.5500,14.1944
California,1948,55.6500,13.1389
California,1949,56.2167,13.4537
California,1950,58.1250,14.5139
California,1951,57.2250,14.0139
California,1952,56.7583,13.7546
California,1953,57.1750,13.9861
California,1954,57.5750,14.2083
California,1955,56.2083,13.4491
California,1956,56.9667,13.8704
California,1957,57.0917,13.9398
California,1958,58.8917,14.9398
California,1959,58.9500,14.9722
California,1960,58.0500,14.4722
California,1961,57.8083,14.3380
California,1962,57.3750,14.0972
California,1963,57.0833,13.9352
California,1964,56.5667,13.6481
California,1965,56.7000,13.7222
California,1966,58.0083,14.4491
California,1967,57.4917,14.1620
California,1968,57.5917,14.2176
California,1969,57.4917,14.1620
California,1970,57.8167,14.3426
California,1971,56.2083,13.4491
California,1972,57.2583,14.0324
California,1973,57.3000,14.0556
California,1974,57.6333,14.2407
California,1975,56.2667,13.4815
California,1976,57.4750,14.1528
California,1977,57.9750,14.4306
California,1978,57.6083,14.2269
California,1979,57.6667,14.2593
California,1980,58.0750,14.4861
California,1981,59.3000,15.1667
California,1982,56.3417,13.5231
California,1983,57.5500,14.1944
California,1984,58.2167,14.5648
California,1985,57.3250,14.0694
California,1986,58.8750,14.9306
California,1987,58.2750,14.5972
California,1988,58.7500,14.8611
California,1989,58.1083,14.5046
California,1990,57.9667,14.4259
California,1991,58.1333,14.5185
California,1992,59.2667,15.1481
California,1993,57.6583,14.2546
California,1994,58.0083,14.4491
California,1995,58.9333,14.9630
California,1996,59.5583,15.3102
California,1997,59.1167,15.0648
California,1998,56.7083,13.7269
California,1999,57.9583,14.4213
California,2000,58.8000,14.8889
California,2001,59.1167,15.0648
California,2002,58.8500,14.9167
California,2003,59.4250,15.2361
California,2004,58.8583,14.9213
California,2005,58.6000,14.7778
California,2006,58.6417,14.8009
California,2007,58.9250,14.9583
California,2008,58.9167,14.9537
California,2009,58.8333,14.9074
California,2010,57.7250,14.2917
California,2011,57.4333,14.1296
California,2012,59.5083,15.2824
California,2013,59.3167,15.1759
California,2014,61.4500,16.3611
California,2015,60.7583,15.9769
California,2016,60.1333,15.6296
California,2017,60.3417,15.7454
California,2018,60.1250,15.6250
California,2019,58.3750,14.6528
Colorado,1895,42.4333,5.7963
Colorado,1896,44.8750,7.1528
Colorado,1897,44.0333,6.6852
Colorado,1898,42.7167,5.9537
Colorado,1899,43.1667,6.2037
Colorado,1900,45.4083,7.4491
Colorado,1901,45.1083,7.2824
Colorado,1902,44.6917,7.0509
Colorado,1903,42.7917,5.9954
Colorado,1904,44.7333,7.0741
Colorado,1905,43.4917,6.3843
Colorado,1906,43.9583,6.6435
Colorado,1907,45.1250,7.2917
Colorado,1908,43.6250,6.4583
Colorado,1909,43.3000,6.2778
Colorado,1910,46.1000,7.8333
Colorado,1911,44.4000,6.8889
Colorado,1912,41.7833,5.4352
Colorado,1913,42.8083,6.0046
Colorado,1914,44.4083,6.8935
Colorado,1915,43.1583,6.1991
Colorado,1916,43.4833,6.3796
Colorado,1917,42.9083,6.0602
Colorado,1918,43.7667,6.5370
Colorado,1919,43.2583,6.2546
Colorado,1920,43.1917,6.2176
Colorado,1921,46.0000,7.7778
Colorado,1922,44.1583,6.7546
Colorado,1923,43.2250,6.2361
Colorado,1924,42.6750,5.9306
Colorado,1925,44.6417,7.0231
Colorado,1926,44.6667,7.0370
Colorado,1927,44.5250,6.9583
Colorado,1928,43.9333,6.6296
Colorado,1929,42.5417,5.8565
Colorado,1930,43.6250,6.4583
Colorado,1931,44.9583,7.1991
Colorado,1932,43.6750,6.4861
Colorado,1933,45.4250,7.4583
Colorado,1934,47.9750,8.8750
Colorado,1935,45.1667,7.3148
Colorado,1936,45.4417,7.4676
Colorado,1937,44.2083,6.7824
Colorado,1938,45.0917,7.2731
Colorado,1939,45.4667,7.4815
Colorado,1940,45.4500,7.4722
Colorado,1941,44.6083,7.0046
Colorado,1942,43.9000,6.6111
Colorado,1943,45.7250,7.6250
Colorado,1944,43.9083,6.6157
Colorado,1945,44.2167,6.7870
Colorado,1946,45.5750,7.5417
Colorado,1947,44.5000,6.9444
Colorado,1948,43.7667,6.5370
Colorado,1949,44.1750,6.7639
Colorado,1950,45.2083,7.3380
Colorado,1951,43.4667,6.3704
Colorado,1952,44.2500,6.8056
Colorado,1953,45.6333,7.5741
Colorado,1954,47.3500,8.5278
Colorado,1955,44.1583,6.7546
Colorado,1956,45.0833,7.2685
Colorado,1957,44.1167,6.7315
Colorado,1958,45.5000,7.5000
Colorado,1959,44.7583,7.0880
Colorado,1960,44.2083,6.7824
Colorado,1961,43.8583,6.5880
Colorado,1962,45.0500,7.2500
Colorado,1963,46.1833,7.8796
Colorado,1964,43.5917,6.4398
Colorado,1965,44.1750,6.7639
Colorado,1966,44.6167,7.0093
Colorado,1967,44.7667,7.0926
Colorado,1968,43.6333,6.4630
Colorado,1969,44.6833,7.0463
Colorado,1970,44.3000,6.8333
Colorado,1971,44.0667,6.7037
Colorado,1972,44.6000,7.0000
Colorado,1973,43.3750,6.3194
Colorado,1974,44.4167,6.8981
Colorado,1975,43.5083,6.3935
Colorado,1976,44.7000,7.0556
Colorado,1977,46.2833,7.9352
Colorado,1978,44.5333,6.9630
Colorado,1979,43.4917,6.3843
Colorado,1980,45.6000,7.5556
Colorado,1981,47.0667,8.3704
Colorado,1982,44.0917,6.7176
Colorado,1983,44.4083,6.8935
Colorado,1984,43.6833,6.4907
Colorado,1985,44.1250,6.7361
Colorado,1986,46.3083,7.9491
Colorado,1987,45.2500,7.3611
Colorado,1988,45.1000,7.2778
Colorado,1989,45.3750,7.4306
Colorado,1990,45.6000,7.5556
Colorado,1991,45.0417,7.2454
Colorado,1992,45.2667,7.3704
Colorado,1993,43.8333,6.5741
Colorado,1994,46.5167,8.0648
Colorado,1995,45.6667,7.5926
Colorado,1996,45.7750,7.6528
Colorado,1997,44.8417,7.1343
Colorado,1998,46.2500,7.9167
Colorado,1999,46.6417,8.1343
Colorado,2000,47.0000,8.3333
Colorado,2001,46.8500,8.2500
Colorado,2002,46.0833,7.8241
Colorado,2003,47.0250,8.3472
Colorado,2004,45.8417,7.6898
Colorado,2005,46.7667,8.2037
Colorado,2006,46.5083,8.0602
Colorado,2007,46.1750,7.8750
Colorado,2008,44.9417,7.1898
Colorado,2009,45.1833,7.3241
Colorado,2010,46.1500,7.8611
Colorado,2011,45.4333,7.4630
Colorado,2012,48.3167,9.0648
Colorado,2013,45.0917,7.2731
Colorado,2014,46.0583,7.8102
Colorado,2015,47.4417,8.5787
Colorado,2016,47.2833,8.4907
Colorado,2017,47.9250,8.8472
Colorado,2018,47.1667,8.4259
Colorado,2019,45.2583,7.3657
Connecticut,1895,46.6000,8.1111
Connecticut,1896,46.8333,8.2407
Connecticut,1897,47.2833,8.4907
Connecticut,1898,48.2083,9.0046
Connecticut,1899,47.0500,8.3611
Connecticut,1900,48.4417,9.1343
Connecticut,1901,46.5583,8.0880
Connecticut,1902,47.1667,8.4259
Connecticut,1903,46.8833,8.2685
Connecticut,1904,44.3250,6.8472
Connecticut,1905,46.2750,7.9306
Connecticut,1906,47.6583,8.6991
Connecticut,1907,45.6167,7.5648
Connecticut,1908,48.2250,9.0139
Connecticut,1909,47.3667,8.5370
Connecticut,1910,47.5667,8.6481
Connecticut,1911,47.6750,8.7083
Connecticut,1912,46.5750,8.0972
Connecticut,1913,49.1833,9.5463
Connecticut,1914,46.3750,7.9861
Connecticut,1915,47.8750,8.8194
Connecticut,1916,46.4250,8.0139
Connecticut,1917,44.7583,7.0880
Connecticut,1918,46.8583,8.2546
Connecticut,1919,47.9833,8.8796
Connecticut,1920,46.4417,8.0231
Connecticut,1921,49.3167,9.6204
Connecticut,1922,47.8750,8.8194
Connecticut,1923,46.7667,8.2037
Connecticut,1924,46.3500,7.9722
Connecticut,1925,47.9417,8.8565
Connecticut,1926,45.6500,7.5833
Connecticut,1927,47.9167,8.8426
Connecticut,1928,47.8083,8.7824
Connecticut,1929,47.7167,8.7315
Connecticut,1930,48.6417,9.2454
Connecticut,1931,49.6417,9.8009
Connecticut,1932,48.7917,9.3287
Connecticut,1933,48.4083,9.1157
Connecticut,1934,47.2250,8.4583
Connecticut,1935,47.3083,8.5046
Connecticut,1936,47.6917,8.7176
Connecticut,1937,48.7250,9.2917
Connecticut,1938,48.8750,9.3750
Connecticut,1939,47.7500,8.7500
Connecticut,1940,45.7500,7.6389
Connecticut,1941,48.4750,9.1528
Connecticut,1942,48.2750,9.0417
Connecticut,1943,47.3250,8.5139
Connecticut,1944,48.2500,9.0278
Connecticut,1945,48.2667,9.0370
Connecticut,1946,48.8917,9.3843
Connecticut,1947,47.8750,8.8194
Connecticut,1948,47.7833,8.7685
Connecticut,1949,50.5333,10.2963
Connecticut,1950,47.8500,8.8056
Connecticut,1951,48.9833,9.4352
Connecticut,1952,49.3583,9.6435
Connecticut,1953,50.5250,10.2917
Connecticut,1954,48.6917,9.2731
Connecticut,1955,48.6667,9.2593
Connecticut,1956,47.6167,8.6759
Connecticut,1957,49.2167,9.5648
Connecticut,1958,46.6250,8.1250
Connecticut,1959,49.2167,9.5648
Connecticut,1960,47.9667,8.8704
Connecticut,1961,48.2917,9.0509
Connecticut,1962,46.7500,8.1944
Connecticut,1963,47.2000,8.4444
Connecticut,1964,48.0000,8.8889
Connecticut,1965,47.5333,8.6296
Connecticut,1966,47.9500,8.8611
Connecticut,1967,47.1250,8.4028
Connecticut,1968,47.7417,8.7454
Connecticut,1969,47.9500,8.8611
Connecticut,1970,47.7500,8.7500
Connecticut,1971,48.2583,9.0324
Connecticut,1972,47.2750,8.4861
Connecticut,1973,50.0500,10.0278
Connecticut,1974,48.2333,9.0185
Connecticut,1975,49.0583,9.4769
Connecticut,1976,47.5833,8.6574
Connecticut,1977,48.1917,8.9954
Connecticut,1978,46.7250,8.1806
Connecticut,1979,48.8250,9.3472
Connecticut,1980,47.9333,8.8519
Connecticut,1981,48.4083,9.1157
Connecticut,1982,47.9417,8.8565
Connecticut,1983,49.4083,9.6713
Connecticut,1984,48.9500,9.4167
Connecticut,1985,48.6583,9.2546
Connecticut,1986,48.4917,9.1620
Connecticut,1987,48.8250,9.3472
Connecticut,1988,48.3250,9.0694
Connecticut,1989,47.9417,8.8565
Connecticut,1990,51.0667,10.5926
Connecticut,1991,50.9583,10.5324
Connecticut,1992,47.6833,8.7130
Connecticut,1993,48.6500,9.2500
Connecticut,1994,48.8583,9.3657
Connecticut,1995,49.0333,9.4630
Connecticut,1996,48.3750,9.0972
Connecticut,1997,48.6417,9.2454
Connecticut,1998,51.5917,10.8843
Connecticut,1999,50.8500,10.4722
Connecticut,2000,48.5333,9.1852
Connecticut,2001,50.2417,10.1343
Connecticut,2002,50.4667,10.2593
Connecticut,2003,48.1583,8.9769
Connecticut,2004,48.7583,9.3102
Connecticut,2005,49.5083,9.7269
Connecticut,2006,51.1333,10.6296
Connecticut,2007,49.5333,9.7407
Connecticut,2008,49.7000,9.8333
Connecticut,2009,48.8417,9.3565
Connecticut,2010,51.3500,10.7500
Connecticut,2011,50.8583,10.4769
Connecticut,2012,52.4667,11.3704
Connecticut,2013,49.7833,9.8796
Connecticut,2014,48.6750,9.2639
Connecticut,2015,49.8417,9.9120
Connecticut,2016,51.7750,10.9861
Connecticut,2017,50.9250,10.5139
Connecticut,2018,50.7583,10.4213
Connecticut,2019,49.8250,9.9028
Delaware,1895,52.7083,11.5046
Delaware,1896,53.8833,12.1574
Delaware,1897,53.6083,12.0046
Delaware,1898,54.7500,12.6389
Delaware,1899,53.2750,11.8194
Delaware,1900,55.1667,12.8704
Delaware,1901,52.8500,11.5833
Delaware,1902,53.5000,11.9444
Delaware,1903,53.1500,11.7500
Delaware,1904,50.9167,10.5093
Delaware,1905,52.8083,11.5602
Delaware,1906,54.4583,12.4769
Delaware,1907,52.0000,11.1111
Delaware,1908,54.0167,12.2315
Delaware,1909,53.4333,11.9074
Delaware,1910,53.3250,11.8472
Delaware,1911,54.5167,12.5093
Delaware,1912,52.9500,11.6389
Delaware,1913,55.5917,13.1065
Delaware,1914,53.1000,11.7222
Delaware,1915,53.7167,12.0648
Delaware,1916,53.0500,11.6944
Delaware,1917,51.4250,10.7917
Delaware,1918,53.4250,11.9028
Delaware,1919,54.4500,12.4722
Delaware,1920,52.9417,11.6343
Delaware,1921,56.2333,13.4630
Delaware,1922,54.3333,12.4074
Delaware,1923,53.9333,12.1852
Delaware,1924,52.3417,11.3009
Delaware,1925,54.4917,12.4954
Delaware,1926,52.4500,11.3611
Delaware,1927,53.8917,12.1620
